id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1621233512211779586,1621233494457290754,2023-02-02 19:46:05 UTC,2023-02-02,19:46:05,+0000,16319594,bencasselman,Ben Casselman,,"In other words, that big debate that's been bubbling up on #EconTwitter lately about which set of jobs numbers to believe? It won't be resolved for another year (at the earliest).",en,[],[],[],3,0,10,['econtwitter'],[],https://twitter.com/bencasselman/status/1621233512211779586,False,,0,,,,,,,,[],,,,
1621229399369465859,1621229399369465859,2023-02-02 19:29:44 UTC,2023-02-02,19:29:44,+0000,1216691200792633344,vidalimara,"Mara E. Vidali, Ph.D.",,"I am extremely happy to announce that I have joined the @PSEinfo as Research Associate.  Yesterday was my first day on the job, and the first thing I did was take a picture of the building to remind me of this feeling of excitement!   #academia #EconTwitter #research  https://t.co/fvfMdEMeD3",en,"[{'screen_name': 'pseinfo', 'name': 'paris school of economics', 'id': '2842666199'}]",[],['https://pbs.twimg.com/media/Fn_Di2EWQAUoQlb.jpg'],0,0,6,"['academia', 'econtwitter', 'research']",[],https://twitter.com/VidaliMara/status/1621229399369465859,False,,1,https://pbs.twimg.com/media/Fn_Di2EWQAUoQlb.jpg,,,,,,,[],,,,
1621227832020983808,1621227832020983808,2023-02-02 19:23:30 UTC,2023-02-02,19:23:30,+0000,37975072,aier,American Institute for Economic Research,,"AIER Distinguished Fellow @DrSamuelGregg joins Hunter Hastings from @econ4business to discuss his new book, 'The Next American Economy,' America's founding, #cronycapitalism, and more:  https://t.co/1tTUb2NbYw.  #EconTwitter #Entrepreneurship",en,"[{'screen_name': 'drsamuelgregg', 'name': 'samuel gregg', 'id': '890995184'}, {'screen_name': 'econ4business', 'name': 'economics for business', 'id': '1206774195889344512'}]",['https://mises.org/library/dr-samuel-gregg-our-founding-fathers-designed-entrepreneurial-republic-can-we-keep-it'],[],0,3,2,"['cronycapitalism', 'econtwitter', 'entrepreneurship']",[],https://twitter.com/aier/status/1621227832020983808,False,,0,,,,,,,,[],,,,
1621223682285752323,1621223682285752323,2023-02-02 19:07:01 UTC,2023-02-02,19:07:01,+0000,3877946357,eckelcc,Catherine Eckel,,What about this question for #econtwitter ?,en,[],[],[],1,0,2,['econtwitter'],[],https://twitter.com/eckelcc/status/1621223682285752323,False,https://twitter.com/SpencrGreenberg/status/1621161533446455297,0,,,,,,,,[],,,,
1621212186692435968,1621212186692435968,2023-02-02 18:21:20 UTC,2023-02-02,18:21:20,+0000,26213785,jagodamarinic,JAGODA MARINIĆ 🪝,,"Jetzt mal bitte #econtwitter: könnt ihr uns Ahnungslosen erklären, warum die deutsche Bank solche Gewinne einfährt?  @BachmannRudi zum Beispiel?",de,"[{'screen_name': 'bachmannrudi', 'name': 'rudi bachmann', 'id': '905524795252625408'}]",[],[],10,0,29,['econtwitter'],[],https://twitter.com/jagodamarinic/status/1621212186692435968,False,,0,,,,,,,,[],,,,
1621211016402198529,1621211016402198529,2023-02-02 18:16:41 UTC,2023-02-02,18:16:41,+0000,24714450,berkeleyhaas,Haas School of Bus.,,"Today at noon Dean Ann Harrison is moderating The   Commonwealth Club's ""Navigating a Turbulent Economy: Annual Economic Forecast 2023.""  Tune in for the discussion—online registration is available!  https://t.co/N6vnkQexXz @cwclub #EconTwitter",en,"[{'screen_name': 'cwclub', 'name': 'commonwealth club of california', 'id': '24794561'}]",['https://haas.org/3JApotw'],[],0,0,3,['econtwitter'],[],https://twitter.com/BerkeleyHaas/status/1621211016402198529,False,,0,,,,,,,,[],,,,
1621203926941925386,1621203926941925386,2023-02-02 17:48:31 UTC,2023-02-02,17:48:31,+0000,1601823246,bitmeehan,Elizabeth (Bit) Meehan,,"Moderating is how I got involved with GSIPE - a community of thoughtful, engaged junior political economy scholars that transformed my graduate school experience. This is a great opportunity for folks in earlier years to meet colleagues. @PolEconHub  #EconTwitter #poliscitwitter",en,"[{'screen_name': 'poleconhub', 'name': 'politicaleconomy hub', 'id': '3954928799'}]",[],[],0,0,4,"['econtwitter', 'poliscitwitter']",[],https://twitter.com/bitmeehan/status/1621203926941925386,False,https://twitter.com/gradstudent_ipe/status/1621192196509634563,0,,,,,,,,[],,,,
1621193944515203075,1621193944515203075,2023-02-02 17:08:51 UTC,2023-02-02,17:08:51,+0000,1139615259176636416,crcgrubbsd,David Grubbs,,#econtwitter Anyone out there writing books in econometrics. I am the editor for the Effect and Learning Microeconometrics with R and am actively looking for new projects. What do you think are the books most needed books in econometrics?  https://t.co/jEVQI1fjXi,en,[],[],"['https://pbs.twimg.com/media/Fn-iww9WQAE_Rf0.jpg', 'https://pbs.twimg.com/media/Fn-i1yIXkAIpMxq.jpg']",2,12,100,['econtwitter'],[],https://twitter.com/crcgrubbsd/status/1621193944515203075,False,,1,https://pbs.twimg.com/media/Fn-iww9WQAE_Rf0.jpg,,,,,,,[],,,,
1621189678283067393,1621189678283067393,2023-02-02 16:51:54 UTC,2023-02-02,16:51:54,+0000,236871319,cepii_paris,CEPII,,"🆕Working Paper ""Border Apprehensions and Federal Sentencing of Hispanic Citizens in the #UnitedStates"". The discovered gap in sentencing is time-variant and correlated with apprehensions of #IllegalAliens at the US-Mexico border.  https://t.co/8vyYG4f8Hh #immigration #EconTwitter  https://t.co/TVxJY88qJN",en,[],['http://cepii.fr/CEPII/fr/publications/wp/abstract.asp?NoDoc=13591'],['https://pbs.twimg.com/media/Fn-fFzAXkAcrj8-.jpg'],0,2,3,"['unitedstates', 'illegalaliens', 'immigration', 'econtwitter']",[],https://twitter.com/CEPII_Paris/status/1621189678283067393,False,,1,https://pbs.twimg.com/media/Fn-fFzAXkAcrj8-.jpg,,,,,,,[],,,,
1621179698909937665,1621179698909937665,2023-02-02 16:12:14 UTC,2023-02-02,16:12:14,+0000,43643203,kebroady,"Kristen Broady, PhD, MBA",,"2/28 @ 1 PM CT join the @ChicagoFed, as @kfbutcher &amp; I present our research on job displacement &amp; automation. We’ll be joined by @LipstickEcon, @davidautor, @JSUPrez, @AllisonDembeck, &amp; @Chancellor_Juan. #EconTwitter  https://t.co/EfjYpyLRJz  https://t.co/iqvM2EOLAF",en,"[{'screen_name': 'chicagofed', 'name': 'chicagofed', 'id': '46804450'}, {'screen_name': 'kfbutcher', 'name': 'kristin f. butcher (she/her)', 'id': '1411020724886716417'}, {'screen_name': 'lipstickecon', 'name': 'kate bahn', 'id': '2333546774'}, {'screen_name': 'davidautor', 'name': 'david autor', 'id': '2842032503'}, {'screen_name': 'jsuprez', 'name': 'thomas hudson, j.d.', 'id': '1267477138891997189'}, {'screen_name': 'allisondembeck', 'name': 'allison dembeck', 'id': '233588515'}, {'screen_name': 'chancellor_juan', 'name': 'chancellor salgado', 'id': '216025220'}]",['http://bit.ly/40iZ7WQ'],['https://pbs.twimg.com/media/Fn-WVcBXEAAFNYF.jpg'],1,2,5,['econtwitter'],[],https://twitter.com/KEBroady/status/1621179698909937665,False,,1,https://pbs.twimg.com/media/Fn-WVcBXEAAFNYF.jpg,,,,,,,[],,,,
